heritageItemId,name,suburb,latitude,longitude
1720058,Demondrille Junction Railway Ruins and Signal Box,Demondrille,,
18267,Old Wentworth Gaol,Wentworth,,
2330226,Dappeto,Arncliffe,,
2802698,St. Matthias Anglican Church,Paddington,-33.8908,151.2308
2920774,Braidwood and Its Setting,Braidwood,,
3781948,St. Clair Museum,Goulburn,,
3782953,Grandstand And Publican's Booth,Lockhart,,
3784899,St. John's Anglican Church Group,Taree,,
4700705,Bondi Surf Pavillion,Bondi,,
4920139,Captain Cook Figurehead,Rozelle,,
5000001,Blank Item - Master test record 5000001,,latitude,longitude
5000003,Carcoar School of Arts,Carcoar,-33.6118207266,149.140599279
5000656,Cooma Cottage,Yass,-34.8636749976,148.948667375
5000659,Davidson Whaling Station,Eden,-37.1117033075,149.915736277
5000704,Mortdale Railway Station and Car Sheds,Mortdale,-33.9707588077,151.081224225
5000841,Claremont Cottage,Windsor,-33.6086293706,150.808988598
5000920,Upper Castlereagh Public School and residence,Castlereagh,-33.720705714,150.665679804
5001030,Susannah Place,The Rocks,-33.8600694608,151.207438898
5001039,Hall of Champions (collection),Homebush,-33.8510181091,151.074088835
5001040,Dawn Fraser Swimming Pool,Balmain,-33.8534402213,151.173202089
5001064,Dunbar Group,Watsons Bay,-33.8502550593,151.28811564
5001066,Carrington Hotel (former),Peak Hill,,
5001113,Dredges Cottage,Campbelltown,-34.070082886,150.810921143
5001279,Booloominbah,Armidale,-30.4883044804,151.644700461
5001284,Lady Denman (M.V.),Huskisson,-35.0340081561,150.667448514
5001289,St. Patrick's Church,Boorowa,,
5001346,"Towrang Convict Stockade, Associated Sites and Road Formations",Goulburn,-34.7322908781,149.828302174
5001370,Goulburn Court House and Residence,Goulburn,-34.7557335049,149.719088415
5001478,Lord Howe Island Group,Lord Howe Island,-31.5515554871,159.080588957
5011929,Bethungra Spiral,Bethungra,-34.7498085204,147.881312004
5011932,Blayney Railway Station and yard group,Blayney,-33.5273057705,149.255227829
5011934,Bombala Railway Station and yard group,Bombala,-36.9080999436,149.237652557
5011943,Austinmer Railway Station group,Austinmer,-34.3062663095,150.929424552
5011952,Bowral Railway Station group,Bowral,,
5011956,Broken Hill Railway Station and yard group,Broken Hill,-31.9598020097,141.466894974
5011960,Burwood Railway Station group,Burwood,-33.8772070932,151.104561301
5011968,Carcoar Railway Station group,Carcoar,-33.6123120603,149.137007403
5011969,Casino Railway Station and yard group,Casino,-28.8605096819,153.038258149
5011971,Circular Quay Railway Station group,Sydney,-33.8613627569,151.210908111
5011974,Cooma Railway Station and yard group,Cooma,-36.2361246557,149.135557094
5011979,Cowra Railway Station and yard group,Cowra,-33.8325027579,148.702102901
5011980,Cronulla Railway Station group,Cronulla,-34.0567993795,151.151581938
5011981,Crookwell Railway Station and yard group,Crookwell,-34.4578103299,149.47546764
5011982,Croydon Railway Station Group,Croydon,-33.8834747706,151.116006968
5011986,Demondrille Junction railway ruins and signal box,Demondrille,-34.5348241023,148.322384531
5012003,Emu Plains Railway Station group,Emu Plains,-33.7454963352,150.672448344
5012009,Finley Railway Precinct,Finley,-35.6433501451,145.578180811
5012020,Glen Innes Railway Station group,Glen Innes,-29.7376683516,151.726662055
5012021,Gordon Railway Station,Gordon,-33.7559403487,151.154507933
5012022,"Goulburn Railway Station, yard group and movable relics",Goulburn,-34.7570550375,149.721285137
5012023,Goulburn Viaduct (Mulwaree Ponds),Goulburn,-34.7495194679,149.733902369
5012041,Burrinjuck Dam,Burrinjuck,-35.0026934787,148.583372945
5012044,Gundagai rail bridge over Murrumbidgee River,Gundagai,-35.0733155212,148.10446302
5012048,Guyra Railway Station group,Guyra,-30.2294662474,151.670807228
5012051,Hawkesbury River Railway Station group,Brooklyn,-33.5471412201,151.226295419
5012054,Helensburgh Railway Station group,Helensburgh,-34.1775177973,150.993465653
5012056,Homebush Railway Station group,Homebush,-33.8668728615,151.086980723
5012059,"Junee Railway Station, yard, locomotive depot",Junee,-34.8843841126,147.579422959
5012061,Katoomba Railway Station and yard group,Katoomba,-33.711728611,150.310896904
5012068,Goulburn railway group movable relics,Goulburn,,
5012075,Armidale Railway Station and yard group movable relics,Armidale,-30.5154170592,151.651775408
5012076,Lawson Railway Station Group,Lawson,-33.7189501186,150.429691293
5012085,Yanco Weir and site,Yanco,-34.7040724938,146.417399051
5012091,"Gogeldrie Weir, near Narrandera",,-34.6125457423,146.259407625
5012093,Maitland Railway Station and yard group,Maitland,-32.7380894077,151.552258362
5012096,Marrickville Railway Station group,Marrickville,-33.9139459554,151.15355638
5012097,Martin Place Railway Station,Sydney,-33.8678017091,151.211206513
5012099,Meadowbank Rail Bridge over Parramatta River,Meadowbank/Rhodes,-33.821966245,151.088771332
5012100,Medlow Bath Railway Station group,Medlow Bath,-33.6718342307,150.280081189
5012103,Michelago Railway Station group,Michelago,-35.7131321282,149.166009437
5012104,Michelago rail bridge over Ingalara Creek,Michelago,-35.8186204844,149.176822157
5012106,Milsons Point Railway Station group,Milsons Point,-33.8457628953,151.211746171
5012107,Mittagong Railway Station and yard group,Mittagong,-34.4521591413,150.45012266
5012108,Molong Railway Station and yard group,Molong,-33.0933072668,148.871717426
5012110,Moss Vale Railway Station and yard group,Moss Vale,-34.547652167,150.372110049
