id,title,story
1720058,Demondrille Junction Railway Ruins and Signal Box,
18267,Old Wentworth Gaol,
2330226,Dappeto,
2802698,St. Matthias Anglican Church,
2920774,Braidwood and Its Setting,
3781948,St. Clair Museum,
3782953,Grandstand And Publican's Booth,
3784899,St. John's Anglican Church Group,
4700705,Bondi Surf Pavillion,
4920139,Captain Cook Figurehead,
5000001,Blank Item - Master test record 5000001,"Ast ego, quae divom incedo regina, Iovisque et soror et coniunx, una cum gente tot annos bella gero! Et quisquam numen Iunonis adoret praeterea, aut supplex aris imponet honorem? Talia flammato secum dea corde volutans nimborum in patriam, loca feta furentibus austris, Aeoliam venit. Et tu Brutus?"
5000003,Carcoar School of Arts,"Carcoar is a picturesque village nestled amongst hills which has retained many of its historic buildings. The Carcoar Historical Society has published a free handy map and associated walking tour of Carcoar, which can be obtained from the Court House or the Enterprise General Stores or downloaded from their website. The Carcoar School of Arts is stop number 21 on the walk and also houses a military museum. It is in the Victorian Classical style, like the Carcoar courthouse, railway station, hospital and C.B.C. Bank, but also displays a strong Federation period influence in its roof construction and use of multi-coloured windows."
5000656,Cooma Cottage,"Cooma Cottage, originally built in the 1830s, is one of the oldest surviving rural homesteads in southern New South Wales and was the home of the famous Australian explorer, Hamilton Hume. Set in some of New South Wales' best grazing country, it is now a house museum owned and managed by the National Trust that focuses on the explorations of Hume. The house has grown from a bungalow through a series of idiosyncratic additions to be fully united in an elegant Palladian form."
5000659,Davidson Whaling Station,"Discover a major industry of a by-gone era - whaling. The Davidson Whaling Station was one of the longest operating stations in Australia, run by three generations of the same family. Interpretative signs incorporating historic photographs and sketches have been installed around this site to explain the whaling operations.  A viewing platform has been erected around the remains of the Try Works (the area where the whale blubber was boiled to extract the oil)."
5000704,Mortdale Railway Station and Car Sheds,"You will be taken with the charm of Mortdale Railway Station, whether travelling past, through or alighting from the train."
5000841,Claremont Cottage,"Claremont Cottage is one of the oldest remaining houses in the Windsor district and is a good example of an early colonial farm cottage.  It is associated with many prominent colonial people - including William Cox, Francis Beddek, James Chaseling and Philip Charley. Claremont Cottage has kept its colonial atmosphere, thanks to sympathetic additions and alterations over time. It is listed as item number 23 on the Windsor Tour of the Hawkesbury Valley Walking Tour."
5000920,Upper Castlereagh Public School and residence,"Take a drive through the historic Penrith Valley and walk in the footsteps of our pioneering settlers. The Penrith Valley Heritage Drive covers both urban and rural areas and includes heritage sites from St Marys, Penrith, Castlereagh, Emu Plains and Mulgoa. The drive is a beautiful way to spend a day exploring this little-known part of Sydney. The Upper Castlereagh Public School built in 1878 was pivotal in the state's decision to provide public education rather than leaving it to the church."
5001030,Susannah Place,"Susannah Place Museum is a row of four terrace houses built in 1844. Entering through the corner store you can move through the three other terrace houses at your leisure. Minimal interpretation is displayed and you are invited to use your imagination to recreate life in these houses between 1844 and the present. You can see the many different tastes in paint, wallpaper and floor coverings selected by working-class families over the years. Guided tours are available for groups of up to 15 people."
5001039,Hall of Champions (collection),The Hall of Champions pays tribute to the State's sporting achievements from 1876 to the present.  Learn more about the great moments in New South Wales sporting history and the athletes behind them. The hall overlooks the training and gymnastic centres and also the cafeteria.
5001040,Dawn Fraser Swimming Pool,Take a dip in the pool where champions like Dawn Fraser have trained or get into some more serious training yourself.
5001064,Dunbar Group,On a beautiful summer's day it is hard to imagine the dark and stormy night the Dunbar missed the entrance to Sydney Cove and was wrecked 100 metres from shore. There was only one survivor. The anchor was later raised and placed in Gap Park as a memorial to all those who died.
5001066,Carrington Hotel (former),
5001113,Dredges Cottage,Stroll past the Dredges Cottage building as you explore the heritage of Campbelltown on the Heritage Walk.
